,Annual Return,Annual Vol,Sharpe,Max Drawdown,Hit Rate
Alpha + LSTM Risk Strategy,0.1572660523995606,0.15416680810222946,1.0201031878098947,-0.18222233728575488,0.6344086021505376
Top-N Equal Weight Benchmark,0.1667657134159326,0.15441518063915058,1.0799826333503033,-0.18007163067361764,0.6344086021505376
Equal Weight All,0.12407886305025828,0.125282484190525,0.990392742065712,-0.20487518474545807,0.6989247311827957
