date,strategy_return,benchmark_return,turnover,alpha_rank_ic,vol_rmse,vol_mae,equal_weight_all_return
2015-04-30,-0.007283244066973579,-0.0067832440669735785,1.0,0.19047619047619052,0.0014667178712195672,0.0012606442157275634,6.825857997451446e-05
2015-06-30,0.03230167874035753,0.0329683454070242,1.3333333333333333,0.19047619047619052,0.0021883060331413014,0.0017460138720390979,0.0013431430769079572
2015-07-31,-0.034096329656495235,-0.033429662989828565,1.3333333333333333,-0.09523809523809526,0.006433327121749615,0.005492284389839973,-0.048456522727712684
2015-08-31,-0.021318167244062065,-0.02098483391072873,0.6666666666666666,0.0,0.003393239550588193,0.0026727679856120828,-0.017526272160327122
2015-09-30,0.0799065421619658,0.08057320882863246,1.3333333333333333,-0.2380952380952381,0.0030587681689586213,0.0025250911402595754,0.06030734574304908
2015-11-30,-0.01570237465328776,-0.015369041319954424,0.6666666666666666,0.4523809523809524,0.0014531179908100669,0.0012459830858346076,-0.009942747029516516
2015-12-31,-0.03559871435121501,-0.03493204768454834,1.3333333333333333,0.38095238095238104,0.0053865138595150085,0.004902343816236849,-0.041964668648076575
2016-02-29,0.09193551797184285,0.09260218463850951,1.3333333333333333,0.19047619047619052,0.0038189025372527747,0.0033407913852619743,0.06263733079149618
2016-03-31,-0.0117192640248606,-0.011052597358193934,1.3333333333333333,-0.6428571428571429,0.0020641412017978087,0.0018257600070677648,0.004414535559139801
2016-05-31,0.028065821926117982,0.028399155259451317,0.6666666666666666,-0.04761904761904763,0.007800781402591913,0.006809104611145795,0.017785470993895186
2016-06-30,0.03799328838693942,0.03899328838693942,2.0,-0.2380952380952381,0.0037187840009721006,0.003270480902532585,0.0417211236048185
2016-08-31,0.0017029955404948747,0.002369662207161541,1.3333333333333333,-0.4285714285714286,0.003263736039616872,0.002704446534435738,0.005620708560600249
2016-09-30,-0.03822028814134633,-0.03722028814134633,2.0,0.023809523809523815,0.003561341855263609,0.0032055461677241146,-0.029872513329441366
2016-10-31,0.002754131992910088,0.01047551027380866,1.4266272964079871,0.14285714285714288,0.0029891379768574007,0.002427230909418654,-0.011574926035101935
2016-11-30,0.002009294679291904,0.002389274994162564,0.7599606297413205,-0.1666666666666667,0.0021028644327080377,0.001872202143191716,0.013671151432085804
2017-01-31,0.028998684347162722,0.02966535101382939,1.3333333333333333,0.2380952380952381,0.0041866276194356,0.0038315388791025674,0.02412328574612202
2017-02-28,0.009486225149414329,0.009819558482747662,0.6666666666666666,-0.1666666666666667,0.003772647320205394,0.0033322817729127133,0.008213884196890647
2017-03-31,0.023585971817950115,0.02391930515128345,0.6666666666666666,-0.2380952380952381,0.002630731058217192,0.002373888816621284,0.019251399246457274
2017-05-31,-0.0021038694105931137,-0.001437202743926447,1.3333333333333333,-0.4047619047619048,0.0023305591439503224,0.002122839963354604,0.004602102181471571
2017-06-30,0.017283812043963197,0.017950478710629863,1.3333333333333333,-0.3113828280974473,0.0022673907727102888,0.0020618016015636984,0.026185257477456647
2017-07-31,-0.010463177341842878,-0.009463177341842877,2.0,-0.14638501094227999,0.002347832851279682,0.001959128614354675,0.0029300624305755446
2017-08-31,0.014904203391947422,0.014904203391947422,0.0,0.38095238095238104,0.0021217742760662444,0.0019615896967429716,0.006671409181077365
